VARIABLES= "x","y","Mach","Temp","Pressure","Rho","u", "v" ZONE N=948 E= 1800 F=FEPOINT  ET=triangle
10.2094	2.39316	0.300019	1.31246	0.714275	0.999945	0.299998	-0.000147843
9.35456	4.64723	0.300162	1.25625	0.714322	1.00003	0.300188	-9.7883e-05
7.98511	6.63123	0.300133	1.30495	0.714332	1.00005	0.300167	-4.18563e-05
6.18065	8.22984	0.3001	1.29624	0.714336	1.00005	0.300136	-6.1252e-06
4.04605	9.35016	0.300073	1.2812	0.714339	1.00005	0.300112	2.93069e-05
1.70537	9.92709	0.300065	1.30858	0.714341	1.00006	0.300105	9.83024e-05
-0.70537	9.92709	0.299978	1.48257	0.714382	1.0001	0.300047	0.000185665
-3.04605	9.35016	0.299914	1.2514	0.714381	1.0001	0.299983	0.000159925
-5.18065	8.22984	0.299824	1.38511	0.714413	1.00013	0.299916	0.000156986
-6.98511	6.63123	0.299762	1.37089	0.714436	1.00015	0.29987	0.000121979
-8.35456	4.64723	0.299727	1.33347	0.714445	1.00016	0.299842	8.24523e-05
-9.20942	2.39315	0.299706	1.29851	0.714449	1.00016	0.299824	3.49462e-05
-9.5	0	0.299716	1.32916	0.714445	1.00016	0.29983	-1.33397e-05
-9.20942	-2.39316	0.299728	1.34798	0.714437	1.00015	0.299837	-4.87067e-05
-8.35456	-4.64723	0.299769	1.228	0.714421	1.00014	0.299867	-9.97354e-05
-6.98511	-6.63123	0.299831	1.32798	0.714408	1.00012	0.299919	-0.000117184
-5.18065	-8.22984	0.299888	1.30019	0.714391	1.00011	0.299964	-0.000118112
-3.04605	-9.35016	0.299948	1.31364	0.714371	1.00008	0.300009	-0.000111082
-0.70537	-9.92709	0.300014	1.23762	0.714354	1.00007	0.300063	-9.4795e-05
1.70537	-9.92709	0.300046	1.34901	0.714346	1.00006	0.300089	-7.46546e-05
4.04605	-9.35016	0.30006	1.21834	0.714342	1.00006	0.300101	-3.68763e-05
6.18065	-8.22984	0.300082	1.52531	0.714341	1.00006	0.300122	-3.54588e-05
7.98511	-6.63122	0.300086	1.28191	0.714338	1.00005	0.300124	5.54378e-06
9.35456	-4.64723	0.300102	1.33529	0.714343	1.00006	0.300143	2.88851e-05
10.2094	-2.39316	0.300062	1.30718	0.714336	1.00003	0.300093	0.000100965
10.5	0	0.299913	1.28312	0.714277	0.999927	0.299888	2.78429e-05
0.9853	-0.00216	0.251962	1.31687	0.723298	1.00817	0.255276	0.0316067
0.96662	-0.0048	0.263626	1.30973	0.720705	1.00561	0.265412	0.0332521
0.94288	-0.00806	0.273062	1.30718	0.718499	1.00342	0.273537	0.0337504
0.91268	-0.01208	0.281396	1.38757	0.716486	1.00142	0.280665	0.0335398
0.87428	-0.01697	0.289152	1.30276	0.714594	0.999531	0.287279	0.0327551
0.82539	-0.02287	0.296732	1.37839	0.712738	0.997681	0.293716	0.0315202
0.76315	-0.02988	0.304417	1.32356	0.710881	0.995828	0.300236	0.0297123
0.69679	-0.03672	0.311538	1.3461	0.709166	0.994112	0.306246	0.027558
0.63557	-0.04245	0.317715	1.32001	0.70765	0.99258	0.311398	0.0253462
0.57912	-0.0472	0.323237	1.30789	0.706258	0.99116	0.315944	0.0229813
0.52707	-0.05108	0.328259	1.35791	0.704973	0.989833	0.320036	0.0204002
0.48292	-0.05393	0.332289	1.28473	0.703901	0.988696	0.323263	0.0178801
0.4496	-0.05578	0.335202	1.28341	0.703088	0.987802	0.325543	0.0156987
0.42446	-0.05699	0.337475	1.37912	0.702452	0.987087	0.327305	0.0138545
0.40551	-0.05779	0.339319	1.37852	0.701956	0.986516	0.328736	0.0122826
0.39123	-0.05832	0.340595	1.37797	0.701633	0.986123	0.329737	0.0109674
0.38046	-0.05867	0.341616	1.37524	0.701317	0.98575	0.330482	0.0100361
0.37236	-0.05892	0.342706	1.35922	0.701039	0.985449	0.331332	0.00906881
0.36258	-0.05918	0.343753	1.29349	0.70077	0.985179	0.332159	0.00781294
0.35052	-0.05946	0.345233	1.29083	0.700363	0.98477	0.333289	0.00629957
0.33565	-0.05973	0.346989	1.36181	0.699879	0.984285	0.33462	0.00426776
0.3173	-0.05994	0.349009	1.28955	0.699319	0.983723	0.33613	0.00158807
0.29467	-0.06	0.351316	1.36028	0.698664	0.983066	0.337808	-0.00196781
0.26677	-0.05975	0.353899	1.28785	0.697934	0.982334	0.339619	-0.00690226
0.23237	-0.05887	0.356233	1.35585	0.697328	0.98173	0.341136	-0.0139676
0.19003	-0.05675	0.357377	1.30015	0.697112	0.981524	0.341477	-0.0243058
0.14262	-0.05263	0.357282	1.27974	0.697102	0.981478	0.339994	-0.0390435
0.10617	-0.04774	0.355339	1.28164	0.697531	0.981746	0.33617	-0.0551849
0.0782	-0.0425	0.350807	1.28189	0.698642	0.982611	0.329344	-0.0721667
0.05679	-0.03718	0.342586	1.37057	0.700769	0.984425	0.31844	-0.0898303
0.04044	-0.03193	0.33	1.36891	0.703943	0.987246	0.302673	-0.107131
0.02775	-0.02678	0.311819	1.36504	0.708467	0.991403	0.28076	-0.123246
0.01763	-0.02158	0.284678	1.36464	0.715311	0.997892	0.248538	-0.138422
0.00956	-0.01591	0.23464	1.34392	0.728753	1.01094	0.194274	-0.144317
0.00313	-0.00856	0.144242	1.37695	0.747885	1.0295	0.111659	-0.108198
0	0	0.0615407	1.37951	0.758042	1.03982	0.0678972	-0.00139657
0.00261	0.00763	0.133617	1.39882	0.749769	1.0315	0.104118	0.100447
0.00891	0.01534	0.227631	1.34959	0.730749	1.01294	0.186787	0.144068
